bank_txn_id,narration_text,value_date,amount,utr_reference
BNK_5XFF0T0PVN9ER1,NEFT/UTR22821428812/RAZORPAY/SBI,2025-01-02,333821,UTR22821428812
BNK_RT05UIRODXMO5B,NEFT/UTR86281205445/RAZORPAY/HDFC,2025-01-04,412343,UTR86281205445
BNK_CIKPTK93TYT7D5,RTGS/UTR20771041378/RAZORPAY/ICICI,2025-01-04,179008,UTR20771041378
BNK_U9BVM2P9E6GBPS,NACH/UTR11770791023/RAZORPAY/AXIS,2025-01-07,386798,UTR11770791023
BNK_4J1RIPZIM6CFNF,IMPS/UTR63662941333/RAZORPAY/ICICI,2025-01-06,40704,UTR63662941333
BNK_N7HV3IZKY22UBT,RTGS/UTR46170345521/RAZORPAY/ICICI,2025-01-08,174687,UTR46170345521
BNK_ZEBBK7W1DAKRM8,RTGS/UTR13405620755/RAZORPAY/FEDERAL/2070,2025-01-09,179998,UTR13405620755
BNK_1QX6GVWRDMLY4L,UPI/UTR83507404483/RAZORPAY/KOTAK,2025-01-11,211026,UTR83507404483
BNK_92XF8E8LD4D6AF,IMPS/UTR81293783904/RAZORPAY/ICICI,2025-01-11,210894,UTR81293783904
BNK_YEDWB2BNE6LOH2,RTGS/UTR51178306916/RAZORPAY/KOTAK,2025-01-13,140891,UTR51178306916
BNK_2H3TV3I12VJ99T,IMPS/UTR87077371800/RAZORPAY/ICICI,2025-01-14,136759,UTR87077371800
BNK_UHXID4N1U3493W,NACH/UTR39487064990/RAZORPAY/HDFC,2025-01-14,18080,UTR39487064990
BNK_SOLMLGSES6M033,IMPS/UTR54192838913/RAZORPAY/ICICI/4232,2025-01-14,343288,UTR54192838913
BNK_7LN23Y30YSXPNN,IMPS/UTR79081667586/RAZORPAY/AXIS,2025-01-16,93926,UTR79081667586
BNK_R31QW6AHF7VP1I,NEFT/UTR15368722928/RAZORPAY/HDFC/8489,2025-01-18,399009,UTR15368722928
BNK_TLCXLVPYMB5M9J,NEFT/UTR37030130043/RAZORPAY/ICICI,2025-01-17,37035,UTR37030130043
BNK_P6BEFFLZM764JW,NACH/UTR98906764728/RAZORPAY/KOTAK/5961,2025-01-19,213857,UTR98906764728
BNK_501NOUHTCS1K9Y,NEFT/UTR41995771245/RAZORPAY/SBI,2025-01-19,320961,UTR41995771245
BNK_K791ZYRRU7ZKUT,UPI/UTR15335193614/RAZORPAY/YES,2025-01-23,207525,UTR15335193614
BNK_63SDYGFLIJI18K,NACH/UTR35072322087/RAZORPAY/HDFC/6890,2025-01-22,418792,UTR35072322087
BNK_85E4E9OE9419QZ,UPI/UTR70368496114/RAZORPAY/INDUSIND,2025-01-24,361259,UTR70368496114
BNK_UR5L8A78E9RIVH,IMPS/UTR55202224643/RAZORPAY/YES,2025-01-25,131906,UTR55202224643
BNK_C8QIZK3C9XBONR,NEFT/UTR65861993169/RAZORPAY/SBI/8109,2025-01-26,200714,UTR65861993169
BNK_ND669UGNEKRCPP,UPI/UTR67447021515/RAZORPAY/ICICI,2025-01-27,336640,UTR67447021515
BNK_DH0UYHNQYYF9RK,NEFT/UTR77314926438/RAZORPAY/ICICI,2025-01-28,131432,UTR77314926438
BNK_LQBMAE38SRYO4R,NEFT/UTR78129505198/RAZORPAY/HDFC,2025-01-30,380489,UTR78129505198
BNK_8LA100QXMCTHPH,RTGS/UTR49911562127/RAZORPAY/YES,2025-01-30,118059,UTR49911562127
BNK_DTVV2Y4XKSS0KB,IMPS/UTR62522926856/RAZORPAY/FEDERAL,2025-01-31,178214,UTR62522926856
BNK_F16YE0A4ABN7G8,NEFT/UTR24750994709/RAZORPAY/INDUSIND/5067,2025-02-02,128606,UTR24750994709
BNK_LEM1QQ4D3KZVH4,IMPS/UTR47416262473/RAZORPAY/ICICI,2025-01-31,219025,UTR47416262473
BNK_T199DXJ37C9H42,RTGS/UTR14933334343/RAZORPAY/SBI/6210,2025-02-04,187444,UTR14933334343
BNK_YM2ZBPPFO5MN32,NACH/UTR90167848082/RAZORPAY/AXIS/2207,2025-02-03,419613,UTR90167848082
BNK_C6ZS62YWE1G983,IMPS/UTR64910626781/RAZORPAY/HDFC,2025-02-05,416003,UTR64910626781
BNK_BG34IQ7ZJ3SWEB,RTGS/UTR48314694499/RAZORPAY/FEDERAL,2025-02-04,356299,UTR48314694499
BNK_YWR7MKGXUKQ00U,IMPS/UTR94154612271/RAZORPAY/YES,2025-02-06,96022,UTR94154612271
BNK_I0E0VGNXB5JTB9,NEFT/UTR38062382605/RAZORPAY/HDFC/2897,2025-02-08,118944,UTR38062382605
BNK_E094D6RUPW2W55,IMPS/UTR52852138356/RAZORPAY/FEDERAL,2025-02-08,219291,UTR52852138356
BNK_D6R30OJHE4H3GM,UPI/UTR12806215682/RAZORPAY/HDFC,2025-02-09,62849,UTR12806215682
BNK_D5050UI22KX7N8,RTGS/UTR98950475418/RAZORPAY/HDFC/5117,2025-02-11,435690,UTR98950475418
BNK_CD81TWHWHY4H35,UPI/UTR54375101806/RAZORPAY/ICICI,2025-02-11,109109,UTR54375101806
BNK_LEXDW6LQWLVUNL,UPI/UTR83062333814/RAZORPAY/SBI/5033,2025-02-12,83794,UTR83062333814
BNK_V6CJ9IO3M25A5P,IMPS/UTR29388069411/RAZORPAY/ICICI,2025-02-13,409042,UTR29388069411
BNK_1M264UPJ16DVTJ,NEFT/UTR93552018050/RAZORPAY/HDFC,2025-02-14,148992,UTR93552018050
BNK_VS0CDK36M8JVH7,NACH/UTR44634961846/RAZORPAY/HDFC/7670,2025-02-15,65359,UTR44634961846
BNK_7BM41QESLAYNDN,RTGS/UTR40922332347/RAZORPAY/SBI,2025-02-16,265310,UTR40922332347
BNK_270SQG4EIJ00HO,NEFT/UTR57765351325/RAZORPAY/ICICI,2025-02-19,126584,UTR57765351325
BNK_GKWWJWGABTGDJZ,NEFT/UTR57830046248/RAZORPAY/AXIS/1241,2025-02-18,248308,UTR57830046248
BNK_GYME6RPKZGGM0J,NACH/UTR96912811478/RAZORPAY/SBI/3539,2025-02-19,258798,UTR96912811478
BNK_MF9PML9LN1P0VU,IMPS/UTR84564609628/RAZORPAY/INDUSIND,2025-02-21,236065,UTR84564609628
BNK_DS1EEURXHW0IC1,RTGS/UTR58680832852/RAZORPAY/ICICI/7776,2025-02-21,481306,UTR58680832852
BNK_I9S3W563BTKF6X,NEFT/UTR70357541555/RAZORPAY/INDUSIND,2025-02-22,222772,UTR70357541555
BNK_1V3ZO7UTXZBDQ5,IMPS/UTR94039810165/RAZORPAY/INDUSIND,2025-02-24,353659,UTR94039810165
BNK_5KW3HGBMFBUVLD,NEFT/UTR63903325143/RAZORPAY/INDUSIND,2025-02-23,24977,UTR63903325143
BNK_6Q37CSUYTAUL62,NEFT/UTR39412235780/RAZORPAY/SBI/1510,2025-02-27,87684,UTR39412235780
BNK_TBB6BNDOZ6WYQM,RTGS/UTR95247043558/RAZORPAY/AXIS,2025-02-26,178931,UTR95247043558
BNK_FTOUHYLU6K7P9M,NEFT/UTR90290375722/RAZORPAY/HDFC,2025-02-27,349995,UTR90290375722
BNK_2LBM2QSQ0P82KB,NACH/UTR73651722100/RAZORPAY/KOTAK,2025-02-28,267464,UTR73651722100
BNK_Y1SY9LAACOSYM0,RTGS/UTR76137105319/RAZORPAY/AXIS/2506,2025-03-01,294871,UTR76137105319
BNK_9XN4M41KHT8XKO,NEFT/UTR18903121483/RAZORPAY/YES,2025-03-04,34001,UTR18903121483
BNK_CA7ZVKY2REFJQI,IMPS/UTR74914907441/RAZORPAY/HDFC,2025-03-05,460252,UTR74914907441
BNK_WWG84D4R9V4K00,IMPS/UTR41463577319/RAZORPAY/AXIS,2025-01-03,373825,UTR41463577319
BNK_L6SPBNQS3QT36Q,RTGS/UTR47593367744/RAZORPAY/ICICI/8501,2025-01-06,302978,UTR47593367744
BNK_9LZRK79UFU6PY0,NEFT/UTR92318902566/RAZORPAY/SBI,2025-01-06,49697,UTR92318902566
BNK_B1R8VNRPJY93N0,NEFT/UTR20030538552/RAZORPAY/KOTAK/1958,2025-01-07,64870,UTR20030538552
BNK_CY127H6GMD478M,IMPS/UTR74499153398/RAZORPAY/AXIS,2025-01-07,79884,UTR74499153398
BNK_VORK1DJRWEDBCY,IMPS/UTR77870947549/RAZORPAY/INDUSIND,2025-01-09,39866,UTR77870947549
BNK_ALULDRYHR3YFK8,IMPS/UTR52854251432/RAZORPAY/FEDERAL,2025-01-08,172673,UTR52854251432
BNK_G48RA4DV56ONXD,IMPS/UTR58106416966/RAZORPAY/AXIS/9196,2025-01-10,409808,UTR58106416966
BNK_33ZSMV30QABXW2,IMPS/UTR50306937565/RAZORPAY/HDFC,2025-01-13,484797,UTR50306937565
BNK_0JDCLI6978V0BJ,NACH/UTR25007255813/RAZORPAY/INDUSIND,2025-01-13,328095,UTR25007255813
BNK_8VA8X8L008UHBX,RTGS/UTR23520787737/RAZORPAY/HDFC,2025-01-12,207934,UTR23520787737
BNK_J85GG0V5DTAEGR,UPI/UTR50706030853/RAZORPAY/FEDERAL,2025-01-13,286358,UTR50706030853
BNK_0224WK0YEHVDO9,RTGS/UTR78150969939/RAZORPAY/AXIS/1770,2025-01-16,423172,UTR78150969939
BNK_O1POB7FU99259P,NACH/UTR23476630130/RAZORPAY/KOTAK,2025-01-16,14163,UTR23476630130
BNK_RPP7R93FEZEZ5E,IMPS/UTR89807337771/RAZORPAY/FEDERAL,2025-01-19,165867,UTR89807337771
BNK_DTLVR7MGATND9T,RTGS/UTR54647890705/RAZORPAY/SBI/2468,2025-01-18,388896,UTR54647890705
BNK_MJ1QI9MQVAYXAR,NEFT/UTR72513902885/RAZORPAY/SBI,2025-01-18,84036,UTR72513902885
BNK_ZB7TLOM539IY87,IMPS/UTR94535193872/RAZORPAY/SBI,2025-01-20,465422,UTR94535193872
BNK_VK8SXFI3UBM9XH,NEFT/UTR95383684269/RAZORPAY/YES/8794,2025-01-21,37054,UTR95383684269
BNK_IWKESVR022WGN5,NACH/UTR10434608701/RAZORPAY/YES,2025-01-22,362294,UTR10434608701
BNK_0RS210Q2LG1ZHQ,NACH/UTR23863044605/RAZORPAY/HDFC,2025-01-22,243720,UTR23863044605
BNK_5QU0K5QZZKW3GI,NACH/UTR70430101504/RAZORPAY/INDUSIND,2025-01-24,301970,UTR70430101504
BNK_IDP9MGYH523GGO,NEFT/UTR47883444164/RAZORPAY/YES,2025-01-24,473429,UTR47883444164
BNK_HB792ZI5SGWCR8,NEFT/UTR79717736545/RAZORPAY/SBI,2025-01-28,327319,UTR79717736545
BNK_3WYZXJQYJV84A1,UPI/UTR10814436678/RAZORPAY/INDUSIND,2025-01-28,69327,UTR10814436678
BNK_937XNCMLDQZ05E,NACH/UTR69578135110/RAZORPAY/ICICI,2025-01-30,468369,UTR69578135110
BNK_XU43IEDD070EN4,UPI/UTR42386922064/RAZORPAY/HDFC,2025-01-28,148304,UTR42386922064
