ledger_entry_id,invoice_ref,expected_amount,expected_date,narrative_text
LDG_YHL1C32OC6UZHR,INV-93886,340243,2025-01-01,Settlement for Premium Plan
LDG_QICATVAZCCBLSK,INV-77839,420277,2025-01-03,Settlement for Renewal
LDG_JEXQ77AWUDTSEM,INV-41285,182892,2025-01-03,Settlement for Enterprise Package
LDG_IXOKC1MSY4LA5J,INV-39831,394240,2025-01-04,Settlement for Top-up Credit
LDG_TUL1P36P6QF5Q1,INV-97500,41686,2025-01-05,Settlement for Service Charge
LDG_8QJNV8Z2FLU7U6,INV-83920,178477,2025-01-06,Settlement for Platform Access
LDG_08YG0JV1V93KMK,INV-25670,183903,2025-01-07,Settlement for Platform Access
LDG_CBPLJD84U89YJB,INV-67377,215086,2025-01-08,Settlement for Basic Subscription
LDG_L1N759IN4OLR6N,INV-55236,214952,2025-01-10,Settlement for Monthly Pass
LDG_2960361I2HGJ11,INV-99889,143948,2025-01-11,Settlement for Add-on Module
LDG_6XCJ883DHX8BM9,INV-81364,139726,2025-01-11,Settlement for Top-up Credit
LDG_3UVULEMX15Z8VM,INV-58843,18516,2025-01-12,Settlement for Premium Plan
LDG_UZPEAL2W37D4IV,INV-66267,349893,2025-01-13,Settlement for Standard Tier
LDG_YK0X65MUFM8ZOV,INV-83133,95963,2025-01-15,Settlement for Add-on Module
LDG_7OONNCILDZMFB7,INV-55820,406686,2025-01-16,Settlement for Enterprise Package
LDG_606N9RR7S20CV3,INV-67272,37929,2025-01-16,Settlement for Monthly Pass
LDG_S13C9XQYM52XG8,INV-72739,217971,2025-01-17,Settlement for Renewal
LDG_A8S8HMBR5XQT4P,INV-75191,327137,2025-01-18,Settlement for Service Charge
LDG_RN8QTTY5Y2JR8K,INV-96799,211518,2025-01-20,Settlement for Enterprise Package
LDG_4QGEFQJG02U1G4,INV-27589,426850,2025-01-20,Settlement for Top-up Credit
LDG_9QKGEX08N6Q7NC,INV-19046,368210,2025-01-21,Settlement for Premium Plan
LDG_HX74D0GJYV5G10,INV-43422,134767,2025-01-23,Settlement for Consultation Fee
