id,order_id,amount,currency,status,method,captured,amount_refunded,refund_status,fee,tax,description,notes,created_at,settlement_id
pay_0IFD0TVBDIVUZZ,order_PQK51FPKH1DNMM,340243,INR,captured,upi,True,0,,5443,979,Payment for Premium Plan,"{""order"": ""order_PQK51FPKH1DNMM""}",1735741800,setl_JBQE7CKW5NGCX1
pay_CN9T84AZYTJXEP,order_Q85JSG65KXVF1T,420277,INR,captured,wallet,True,0,,6724,1210,Payment for Renewal,"{""order"": ""order_Q85JSG65KXVF1T""}",1735860600,setl_2TALA753LC58DR
pay_GTFGQ5C34DXTAD,order_1IOR56FAO72KZ0,182892,INR,captured,upi,True,0,,3292,592,Payment for Enterprise Package,"{""order"": ""order_1IOR56FAO72KZ0""}",1735911000,setl_2XRGHC0CLBR7TC
pay_KHMY4SJ6BW3BME,order_9FPZUE8YFBNTPB,394240,INR,captured,netbanking,True,0,,6307,1135,Payment for Top-up Credit,"{""order"": ""order_9FPZUE8YFBNTPB""}",1735997400,setl_N78BMYYMU5907I
pay_LOOKEP7Y6WKTAK,order_PUXQPHR62GDSWM,41686,INR,captured,card,True,0,,833,149,Payment for Service Charge,"{""order"": ""order_PUXQPHR62GDSWM""}",1736087400,setl_31YIHAIR4COWGZ
pay_C3O18A5UR7KO64,order_T026RJRNY20479,178477,INR,captured,wallet,True,0,,3212,578,Payment for Platform Access,"{""order"": ""order_T026RJRNY20479""}",1736166600,setl_T6VXDP5GJLQM5K
pay_3D8W3ZP08J3TRP,order_0J43D5IQVNB4GH,183903,INR,captured,upi,True,0,,3310,595,Payment for Platform Access,"{""order"": ""order_0J43D5IQVNB4GH""}",1736253000,setl_2M5ZJA8DZR1YXR
pay_UYF38DIUOVW1N6,order_KVPUC8D1WJCITF,215086,INR,captured,wallet,True,0,,3441,619,Payment for Basic Subscription,"{""order"": ""order_KVPUC8D1WJCITF""}",1736346600,setl_OYQBKK4CIJ2V2H
pay_DJE153A5QBSWRP,order_BJEK5RBW2ZLAOI,214952,INR,captured,upi,True,0,,3439,619,Payment for Monthly Pass,"{""order"": ""order_BJEK5RBW2ZLAOI""}",1736461800,setl_4E8XF7KZORQQFG
pay_4NLZ15BCW790PD,order_W5PY6B2KNFTU2G,143948,INR,captured,card,True,0,,2591,466,Payment for Add-on Module,"{""order"": ""order_W5PY6B2KNFTU2G""}",1736544600,setl_C5WI6FQJJA26YF
pay_0ME8F840982N2A,order_TQYYV37DIA5U6H,139726,INR,captured,wallet,True,0,,2515,452,Payment for Top-up Credit,"{""order"": ""order_TQYYV37DIA5U6H""}",1736616600,setl_C36KOF8KRD5EQY
pay_M2VAJEPECQNVQH,order_W06XKXB94PDZP6,18516,INR,captured,netbanking,True,0,,370,66,Payment for Premium Plan,"{""order"": ""order_W06XKXB94PDZP6""}",1736703000,setl_LFEWVZNVKSP2EX
pay_17MGFXC08DTNQF,order_LL7V5F1BCPPVOH,349893,INR,captured,card,True,0,,5598,1007,Payment for Standard Tier,"{""order"": ""order_LL7V5F1BCPPVOH""}",1736771400,setl_SMDYVSLH9BH811
pay_C8WQUUY5X9L8LP,order_QW2VMCQBNKX9DV,95963,INR,captured,netbanking,True,0,,1727,310,Payment for Add-on Module,"{""order"": ""order_QW2VMCQBNKX9DV""}",1736890200,setl_NU80B6UGVS8Q34
pay_IEC4D145BM1ENF,order_313FPOYIPK0QTL,406686,INR,captured,wallet,True,0,,6506,1171,Payment for Enterprise Package,"{""order"": ""order_313FPOYIPK0QTL""}",1736976600,setl_3Q4N89QKNS832E
pay_VASIFPWIOXD9CS,order_S9TOQW9JA2M0W1,37929,INR,captured,upi,True,0,,758,136,Payment for Monthly Pass,"{""order"": ""order_S9TOQW9JA2M0W1""}",1737027000,setl_0LBT3G2QZW3C1Q
pay_YPEIXN8BFQNPCE,order_NLK8AGS6E1ZHWY,217971,INR,captured,card,True,0,,3487,627,Payment for Renewal,"{""order"": ""order_NLK8AGS6E1ZHWY""}",1737120600,setl_9HECGZ9389YZTK
pay_XVUGW6M7B5C81J,order_HUWB6TXKI3OQYF,327137,INR,captured,upi,True,0,,5234,942,Payment for Service Charge,"{""order"": ""order_HUWB6TXKI3OQYF""}",1737207000,setl_OQMF5L9MO1SDIE
pay_VOBBZ2SF6F7LOW,order_4VSSRURALDOL65,211518,INR,captured,card,True,0,,3384,609,Payment for Enterprise Package,"{""order"": ""order_4VSSRURALDOL65""}",1737318600,setl_WVJX8UIBRSZ1N3
pay_B8C7X0H3JUJD0I,order_B6IIDLRYE89FX5,426850,INR,captured,netbanking,True,0,,6829,1229,Payment for Top-up Credit,"{""order"": ""order_B6IIDLRYE89FX5""}",1737372600,setl_RX1KKC1XI04B7P
pay_YQFY751YW7NH8R,order_Q9NZ61231YV2ST,368210,INR,captured,netbanking,True,0,,5891,1060,Payment for Premium Plan,"{""order"": ""order_Q9NZ61231YV2ST""}",1737466200,setl_N7E36HTF4PYZR6
pay_FG51BXW76ICVQY,order_5IBPT11F9I6UU1,134767,INR,captured,wallet,True,0,,2425,436,Payment for Consultation Fee,"{""order"": ""order_5IBPT11F9I6UU1""}",1737585000,setl_3I59SOJUV0GYUB
pay_XLM5Q201LHLB50,order_ATVZKHIUIT7M1R,204576,INR,captured,wallet,True,0,,3273,589,Payment for Service Charge,"{""order"": ""order_ATVZKHIUIT7M1R""}",1737639000,setl_00Q0MFTG698S4C
pay_6YUJ7YKTXG4AHF,order_337KUU4YTN02YC,343117,INR,captured,card,True,0,,5489,988,Payment for Enterprise Package,"{""order"": ""order_337KUU4YTN02YC""}",1737725400,setl_0MDICVWV8LW2QI
pay_WQEAO4N5PP3XVK,order_VZRGOL0W82LK2N,134284,INR,captured,wallet,True,0,,2417,435,Payment for Renewal,"{""order"": ""order_VZRGOL0W82LK2N""}",1737811800,setl_7H9G1A07H23C42
pay_LQHRRPZLK3E4XY,order_F9IGFU8IOGXPBW,387809,INR,captured,netbanking,True,0,,6204,1116,Payment for Consultation Fee,"{""order"": ""order_F9IGFU8IOGXPBW""}",1737919800,setl_HVNZH13CD5GLQJ
pay_K2U1RSUJT9T11P,order_HP0XI5BJ5D5E3H,120620,INR,captured,card,True,0,,2171,390,Payment for Service Charge,"{""order"": ""order_HP0XI5BJ5D5E3H""}",1738009800,setl_0Y4VPW232UTVG9
pay_4261BW4A7FQ9P9,order_65K55DMCXXBW01,182080,INR,captured,netbanking,True,0,,3277,589,Payment for Renewal,"{""order"": ""order_65K55DMCXXBW01""}",1738067400,setl_PDDHCVSQAME4YR
pay_VT997E4UNY181A,order_CJBC2SWSOZCTWJ,131396,INR,captured,wallet,True,0,,2365,425,Payment for Add-on Module,"{""order"": ""order_CJBC2SWSOZCTWJ""}",1738175400,setl_LSH3TOW4YCZ04C
pay_S6G298CQK4LTAH,order_UKWQVR1H61IAOI,223238,INR,captured,card,True,0,,3571,642,Payment for Basic Subscription,"{""order"": ""order_UKWQVR1H61IAOI""}",1738240200,setl_M458AX40DTIRC9
pay_BK3G84UTDD2EC2,order_IHOY7DV7C9HX3D,191511,INR,captured,wallet,True,0,,3447,620,Payment for Service Charge,"{""order"": ""order_IHOY7DV7C9HX3D""}",1738355400,setl_43E7B7P0RNPM6J
pay_8438TGBCVARLW3,order_MG25CFZFDSNCZX,427686,INR,captured,card,True,0,,6842,1231,Payment for Renewal,"{""order"": ""order_MG25CFZFDSNCZX""}",1738416600,setl_VML90PXRLZU6WM
pay_AJDM5FC79M96ZP,order_XVPBL9OT7TXKDO,424008,INR,captured,upi,True,0,,6784,1221,Payment for Top-up Credit,"{""order"": ""order_XVPBL9OT7TXKDO""}",1738521000,setl_TRBAD3WRDHW9RE
pay_9W4J66CNOLJQ52,order_WSPOFV177UDKTM,363154,INR,captured,wallet,True,0,,5810,1045,Payment for Enterprise Package,"{""order"": ""order_WSPOFV177UDKTM""}",1738600200,setl_ONRVBJFVYB6LI0
pay_TM4J3DAB42HHIH,order_XS58YREG2IV7ZZ,98104,INR,captured,wallet,True,0,,1765,317,Payment for Renewal,"{""order"": ""order_XS58YREG2IV7ZZ""}",1738683000,setl_J64QHKSWVA984U
pay_NVQEBWUWQHEYTO,order_5F9M969F5GCL9L,121524,INR,captured,card,True,0,,2187,393,Payment for Consultation Fee,"{""order"": ""order_5F9M969F5GCL9L""}",1738794600,setl_CQH1UF22EPPPRA
pay_EJZHYAPDSWZP6S,order_WK2RV239MOFT6Y,223510,INR,captured,wallet,True,0,,3576,643,Payment for Platform Access,"{""order"": ""order_WK2RV239MOFT6Y""}",1738855800,setl_RIADDUR82C06XQ
pay_BJLZY1UU9YMSZD,order_XIMYN4U9BXF445,64211,INR,captured,wallet,True,0,,1155,207,Payment for Monthly Pass,"{""order"": ""order_XIMYN4U9BXF445""}",1738931400,setl_CRI8BIXOIQ2Q4Q
pay_QVS8A0TPV726YG,order_3DXVL5PVYIOMK2,444073,INR,captured,upi,True,0,,7105,1278,Payment for Monthly Pass,"{""order"": ""order_3DXVL5PVYIOMK2""}",1739021400,setl_EV5S4TL0THHZY7
