entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
recon_NQ4FMYZYCWTIQJ,payment,0,333821,340243,INR,5443,979,False,True,1735741800,1735828200,setl_JBQE7CKW5NGCX1,Payment for Premium Plan,"{""order"": ""order_PQK51FPKH1DNMM""}",pay_0IFD0TVBDIVUZZ,UTR22821428812,order_PQK51FPKH1DNMM,INV-93886,upi,,,,
recon_ERTJ5PHT0HL9XP,payment,0,412343,420277,INR,6724,1210,False,True,1735860600,1735947000,setl_2TALA753LC58DR,Payment for Renewal,"{""order"": ""order_Q85JSG65KXVF1T""}",pay_CN9T84AZYTJXEP,UTR86281205445,order_Q85JSG65KXVF1T,INV-77839,wallet,,,,
recon_VYIE6IVWPVS7HZ,payment,0,179008,182892,INR,3292,592,False,True,1735911000,1735997400,setl_2XRGHC0CLBR7TC,Payment for Enterprise Package,"{""order"": ""order_1IOR56FAO72KZ0""}",pay_GTFGQ5C34DXTAD,UTR20771041378,order_1IOR56FAO72KZ0,INV-41285,upi,,,,
recon_72OY0IFZNBQH7M,payment,0,386798,394240,INR,6307,1135,False,True,1735997400,1736256600,setl_N78BMYYMU5907I,Payment for Top-up Credit,"{""order"": ""order_9FPZUE8YFBNTPB""}",pay_KHMY4SJ6BW3BME,UTR11770791023,order_9FPZUE8YFBNTPB,INV-39831,netbanking,,,,
recon_XA11DPG8SBI4Q2,payment,0,40704,41686,INR,833,149,False,True,1736087400,1736173800,setl_31YIHAIR4COWGZ,Payment for Service Charge,"{""order"": ""order_PUXQPHR62GDSWM""}",pay_LOOKEP7Y6WKTAK,UTR63662941333,order_PUXQPHR62GDSWM,INV-97500,card,RuPay,HDFC,debit,
recon_AT9MX2X18HAFEY,payment,0,174687,178477,INR,3212,578,False,True,1736166600,1736339400,setl_T6VXDP5GJLQM5K,Payment for Platform Access,"{""order"": ""order_T026RJRNY20479""}",pay_C3O18A5UR7KO64,UTR46170345521,order_T026RJRNY20479,INV-83920,wallet,,,,
recon_HYLURTP0LZJJEG,payment,0,179998,183903,INR,3310,595,False,True,1736253000,1736425800,setl_2M5ZJA8DZR1YXR,Payment for Platform Access,"{""order"": ""order_0J43D5IQVNB4GH""}",pay_3D8W3ZP08J3TRP,UTR13405620755,order_0J43D5IQVNB4GH,INV-25670,upi,,,,
recon_FJFC2V37PQKOJT,payment,0,211026,215086,INR,3441,619,False,True,1736346600,1736605800,setl_OYQBKK4CIJ2V2H,Payment for Basic Subscription,"{""order"": ""order_KVPUC8D1WJCITF""}",pay_UYF38DIUOVW1N6,UTR83507404483,order_KVPUC8D1WJCITF,INV-67377,wallet,,,,
recon_5J2O7S3KKV9RFT,payment,0,210894,214952,INR,3439,619,False,True,1736461800,1736548200,setl_4E8XF7KZORQQFG,Payment for Monthly Pass,"{""order"": ""order_BJEK5RBW2ZLAOI""}",pay_DJE153A5QBSWRP,UTR81293783904,order_BJEK5RBW2ZLAOI,INV-55236,upi,,,,
recon_YQK94DNMKZA3OA,payment,0,140891,143948,INR,2591,466,False,True,1736544600,1736717400,setl_C5WI6FQJJA26YF,Payment for Add-on Module,"{""order"": ""order_W5PY6B2KNFTU2G""}",pay_4NLZ15BCW790PD,UTR51178306916,order_W5PY6B2KNFTU2G,INV-99889,card,Amex,HDFC,debit,
recon_0FODRO8BNP84DY,payment,0,136759,139726,INR,2515,452,False,True,1736616600,1736875800,setl_C36KOF8KRD5EQY,Payment for Top-up Credit,"{""order"": ""order_TQYYV37DIA5U6H""}",pay_0ME8F840982N2A,UTR87077371800,order_TQYYV37DIA5U6H,INV-81364,wallet,,,,
recon_5O3O0LLJ8YRDDP,payment,0,18080,18516,INR,370,66,False,True,1736703000,1736875800,setl_LFEWVZNVKSP2EX,Payment for Premium Plan,"{""order"": ""order_W06XKXB94PDZP6""}",pay_M2VAJEPECQNVQH,UTR39487064990,order_W06XKXB94PDZP6,INV-58843,netbanking,,,,
recon_RPETIUYMO0PQCL,payment,0,343288,349893,INR,5598,1007,False,True,1736771400,1736857800,setl_SMDYVSLH9BH811,Payment for Standard Tier,"{""order"": ""order_LL7V5F1BCPPVOH""}",pay_17MGFXC08DTNQF,UTR54192838913,order_LL7V5F1BCPPVOH,INV-66267,card,Visa,ICICI,debit,
recon_BZ9SVN7N1YBWML,payment,0,93926,95963,INR,1727,310,False,True,1736890200,1736976600,setl_NU80B6UGVS8Q34,Payment for Add-on Module,"{""order"": ""order_QW2VMCQBNKX9DV""}",pay_C8WQUUY5X9L8LP,UTR79081667586,order_QW2VMCQBNKX9DV,INV-83133,netbanking,,,,
recon_5TD44K1J6FP8HQ,payment,0,399009,406686,INR,6506,1171,False,True,1736976600,1737149400,setl_3Q4N89QKNS832E,Payment for Enterprise Package,"{""order"": ""order_313FPOYIPK0QTL""}",pay_IEC4D145BM1ENF,UTR15368722928,order_313FPOYIPK0QTL,INV-55820,wallet,,,,
recon_5LLO3RBXK5BXJ2,payment,0,37035,37929,INR,758,136,False,True,1737027000,1737113400,setl_0LBT3G2QZW3C1Q,Payment for Monthly Pass,"{""order"": ""order_S9TOQW9JA2M0W1""}",pay_VASIFPWIOXD9CS,UTR37030130043,order_S9TOQW9JA2M0W1,INV-67272,upi,,,,
recon_SEHE2ATN2TWDL9,payment,0,213857,217971,INR,3487,627,False,True,1737120600,1737293400,setl_9HECGZ9389YZTK,Payment for Renewal,"{""order"": ""order_NLK8AGS6E1ZHWY""}",pay_YPEIXN8BFQNPCE,UTR98906764728,order_NLK8AGS6E1ZHWY,INV-72739,card,Mastercard,HDFC,credit,
recon_B85P8637ZGF9Q5,payment,0,320961,327137,INR,5234,942,False,True,1737207000,1737293400,setl_OQMF5L9MO1SDIE,Payment for Service Charge,"{""order"": ""order_HUWB6TXKI3OQYF""}",pay_XVUGW6M7B5C81J,UTR41995771245,order_HUWB6TXKI3OQYF,INV-75191,upi,,,,
recon_DALFYO1750CEHL,payment,0,207525,211518,INR,3384,609,False,True,1737318600,1737577800,setl_WVJX8UIBRSZ1N3,Payment for Enterprise Package,"{""order"": ""order_4VSSRURALDOL65""}",pay_VOBBZ2SF6F7LOW,UTR15335193614,order_4VSSRURALDOL65,INV-96799,card,RuPay,SBI,credit,
recon_2G05KBKV7MQXS6,payment,0,418792,426850,INR,6829,1229,False,True,1737372600,1737545400,setl_RX1KKC1XI04B7P,Payment for Top-up Credit,"{""order"": ""order_B6IIDLRYE89FX5""}",pay_B8C7X0H3JUJD0I,UTR35072322087,order_B6IIDLRYE89FX5,INV-27589,netbanking,,,,
recon_OUUYLAJAHCPZTC,payment,0,361259,368210,INR,5891,1060,False,True,1737466200,1737725400,setl_N7E36HTF4PYZR6,Payment for Premium Plan,"{""order"": ""order_Q9NZ61231YV2ST""}",pay_YQFY751YW7NH8R,UTR70368496114,order_Q9NZ61231YV2ST,INV-19046,netbanking,,,,
recon_OKGTII4FQCOOTN,payment,0,131906,134767,INR,2425,436,False,True,1737585000,1737757800,setl_3I59SOJUV0GYUB,Payment for Consultation Fee,"{""order"": ""order_5IBPT11F9I6UU1""}",pay_FG51BXW76ICVQY,UTR55202224643,order_5IBPT11F9I6UU1,INV-43422,wallet,,,,
recon_IZASNWYWRRATAT,payment,0,200714,204576,INR,3273,589,False,True,1737639000,1737898200,setl_00Q0MFTG698S4C,Payment for Service Charge,"{""order"": ""order_ATVZKHIUIT7M1R""}",pay_XLM5Q201LHLB50,UTR65861993169,order_ATVZKHIUIT7M1R,INV-46010,wallet,,,,
recon_VN1KICJN2FOMD7,payment,0,336640,343117,INR,5489,988,False,True,1737725400,1737984600,setl_0MDICVWV8LW2QI,Payment for Enterprise Package,"{""order"": ""order_337KUU4YTN02YC""}",pay_6YUJ7YKTXG4AHF,UTR67447021515,order_337KUU4YTN02YC,INV-68292,card,Visa,HDFC,credit,
recon_KJFPNQVUT75PB8,payment,0,131432,134284,INR,2417,435,False,True,1737811800,1738071000,setl_7H9G1A07H23C42,Payment for Renewal,"{""order"": ""order_VZRGOL0W82LK2N""}",pay_WQEAO4N5PP3XVK,UTR77314926438,order_VZRGOL0W82LK2N,INV-80373,wallet,,,,
recon_LNOEMQGY27VYLI,payment,0,380489,387809,INR,6204,1116,False,True,1737919800,1738179000,setl_HVNZH13CD5GLQJ,Payment for Consultation Fee,"{""order"": ""order_F9IGFU8IOGXPBW""}",pay_LQHRRPZLK3E4XY,UTR78129505198,order_F9IGFU8IOGXPBW,INV-25328,netbanking,,,,
