record_id,true_category,payment_id,ledger_id,linked_ids,split
REC_0010,clean,pay_4NLZ15BCW790PD,LDG_2960361I2HGJ11,"[""pay_4NLZ15BCW790PD""]",tune
REC_0085,clean,pay_V37IC0LZIGIKQW,LDG_GPJ60SRYZX70IB,"[""pay_V37IC0LZIGIKQW""]",tune
REC_0096,clean,pay_8ZNA8NZXC45BNC,LDG_F2XHDCV4BKTCV1,"[""pay_8ZNA8NZXC45BNC""]",tune
REC_0115,clean,pay_S3AOFC9LGYTLCQ,LDG_LSEUNNRLST5488,"[""pay_S3AOFC9LGYTLCQ""]",tune
REC_0093,clean,pay_M30VVIJVDDWVB8,LDG_OJGFHZ52QZSKHZ,"[""pay_M30VVIJVDDWVB8""]",tune
REC_0031,clean,pay_BK3G84UTDD2EC2,LDG_2MTR6SNGLH62C9,"[""pay_BK3G84UTDD2EC2""]",tune
REC_0094,clean,pay_6K9WAM0KJAX57U,LDG_7E1J7V2A2T34DF,"[""pay_6K9WAM0KJAX57U""]",tune
REC_0088,clean,pay_9LNY2SVHOTQF74,LDG_5B7KXUPR6H2HXN,"[""pay_9LNY2SVHOTQF74""]",tune
REC_0097,clean,pay_MEYL6SS1A2R5BF,LDG_JRJ5XFEUB4O47E,"[""pay_MEYL6SS1A2R5BF""]",tune
REC_0110,clean,pay_ZVMCPSILN3OX5F,LDG_IL9YQ8OCUCNRI2,"[""pay_ZVMCPSILN3OX5F""]",tune
REC_0048,clean,pay_P2RNZBC1FJOTG6,LDG_79WCXZ2EI9212P,"[""pay_P2RNZBC1FJOTG6""]",tune
REC_0080,clean,pay_Y4UMKLD56R7WYQ,LDG_5EGTYLPW71V4KF,"[""pay_Y4UMKLD56R7WYQ""]",tune
REC_0089,clean,pay_BIRY8XNY2X15XJ,LDG_FU4B9SNTP8AK8S,"[""pay_BIRY8XNY2X15XJ""]",tune
REC_0033,clean,pay_AJDM5FC79M96ZP,LDG_DMT8VT43PT5R5R,"[""pay_AJDM5FC79M96ZP""]",tune
REC_0017,clean,pay_YPEIXN8BFQNPCE,LDG_S13C9XQYM52XG8,"[""pay_YPEIXN8BFQNPCE""]",tune
REC_0063,clean,pay_6K8DJZR5SWK8TE,LDG_LMNTFK7ORFQLA0,"[""pay_6K8DJZR5SWK8TE""]",tune
REC_0083,clean,pay_UO8I5JWK6Z0HR9,LDG_Z43XZ6OLBA117N,"[""pay_UO8I5JWK6Z0HR9""]",tune
REC_0098,clean,pay_U4I5YMQT3DGD8O,LDG_YFZMYOA2VCYWL9,"[""pay_U4I5YMQT3DGD8O""]",tune
REC_0052,clean,pay_IF86LTHET25LZS,LDG_78IYHHG8PWY55P,"[""pay_IF86LTHET25LZS""]",tune
REC_0069,clean,pay_XU1SRDV1L30307,LDG_6W51OB537QO4Z5,"[""pay_XU1SRDV1L30307""]",tune
REC_0009,clean,pay_DJE153A5QBSWRP,LDG_L1N759IN4OLR6N,"[""pay_DJE153A5QBSWRP""]",tune
REC_0062,clean,pay_866PB90SPO3ZDR,LDG_XZU1EMTX015Z11,"[""pay_866PB90SPO3ZDR""]",tune
REC_0099,clean,pay_H9PTFNM88UA3A6,LDG_O3Z0ANIK5J42OI,"[""pay_H9PTFNM88UA3A6""]",tune
REC_0109,clean,pay_KVR5NBHGPBKTMA,LDG_44PAABMWUOUC6T,"[""pay_KVR5NBHGPBKTMA""]",tune
REC_0008,clean,pay_UYF38DIUOVW1N6,LDG_CBPLJD84U89YJB,"[""pay_UYF38DIUOVW1N6""]",tune
REC_0002,clean,pay_CN9T84AZYTJXEP,LDG_QICATVAZCCBLSK,"[""pay_CN9T84AZYTJXEP""]",tune
REC_0079,clean,pay_R3VWMJDIMBM271,LDG_RWGEBEVSXMVTFQ,"[""pay_R3VWMJDIMBM271""]",tune
REC_0071,clean,pay_GRMQDZPJL9R9KM,LDG_Y5AYYOV84FC3XQ,"[""pay_GRMQDZPJL9R9KM""]",tune
REC_0027,clean,pay_K2U1RSUJT9T11P,LDG_1YRUJOQW5DSK7N,"[""pay_K2U1RSUJT9T11P""]",tune
REC_0081,clean,pay_ZSR8RUW2XH6QIH,LDG_AK32OOUXQS1FOI,"[""pay_ZSR8RUW2XH6QIH""]",tune
REC_0022,clean,pay_FG51BXW76ICVQY,LDG_HX74D0GJYV5G10,"[""pay_FG51BXW76ICVQY""]",tune
REC_0053,clean,pay_18GP51KFK7Y6QX,LDG_A1ARR3VRHXQPVA,"[""pay_18GP51KFK7Y6QX""]",tune
REC_0042,clean,pay_0P4E05QMKTGV44,LDG_N75BXD8WJ0UUNN,"[""pay_0P4E05QMKTGV44""]",tune
REC_0051,clean,pay_VAK9W9PFB3HN14,LDG_TGSQ7AITMOFMMW,"[""pay_VAK9W9PFB3HN14""]",tune
REC_0067,clean,pay_WDC112HXRJM4T8,LDG_LDY5EGTBXPSPAQ,"[""pay_WDC112HXRJM4T8""]",tune
REC_0040,clean,pay_6ZX1TV18KGYGGS,LDG_N2EJ0AS1SSRKXL,"[""pay_6ZX1TV18KGYGGS""]",tune
REC_0068,clean,pay_HJKU2W8ZUVJUTP,LDG_EGI3QUPXBFEJ2X,"[""pay_HJKU2W8ZUVJUTP""]",tune
